,Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,found_zipcode,found_lat,found_lon
125340,A833452,Frizzy,2021-04-29 19:20:00,04/29/2021 07:20:00 PM,714 Turtle Creek Blvd Apt 145 in Austin (TX),Public Assist,Sick,Dog,Intact Male,12 years,Miniature Schnauzer Mix,Brown/Black,None,,
125341,A833479,Garth,2021-04-30 13:17:00,04/30/2021 01:17:00 PM,5207 Brodie Lane in Austin (TX),Stray,Normal,Cat,Neutered Male,5 years,Domestic Shorthair,Brown Tabby,78748,30.1864062,-97.8479147
125342,A833166,*Lulu,2021-04-26 07:11:00,04/26/2021 07:11:00 AM,Austin (TX),Stray,Sick,Dog,Intact Female,1 year,Collie Smooth/German Shepherd,Brown,None,,
125343,A833415,*Leo,2021-04-29 12:44:00,04/29/2021 12:44:00 PM,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever,Tan/White,None,,
125344,A833414,*Libra,2021-04-29 12:44:00,04/29/2021 12:44:00 PM,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever,Black/White,None,,
125345,A833163,*Oberon,2021-04-25 14:35:00,04/25/2021 02:35:00 PM,Slaughter Lane And South 1St Street in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull,Black/White,None,,
125346,A833463,,2021-04-30 15:31:00,04/30/2021 03:31:00 PM,11215 Ih 35 in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,None,30.0380111,-96.1173772
125347,A833486,,2021-04-30 15:15:00,04/30/2021 03:15:00 PM,Dove Springs Drive And East Stassney Lane in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Boxer Mix,Brown/White,None,,
125348,A830052,*Major,2021-03-05 15:04:00,03/05/2021 03:04:00 PM,Pflugerville (TX),Stray,Normal,Dog,Intact Male,1 year,Dutch Shepherd/German Shepherd,Black/Brown Brindle,None,,
125349,A833496,Avery,2021-04-30 16:33:00,04/30/2021 04:33:00 PM,780 South 183 Highway in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Rat Terrier Mix,Brown Brindle/White,78382,28.0217722,-97.0509848
125350,A833368,,2021-04-28 16:38:00,04/28/2021 04:38:00 PM,1156 West Cesar Chavez Street in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Basenji Mix,White/Brown,78703,30.2698608,-97.759685
125351,A833511,,2021-05-01 08:01:00,05/01/2021 08:01:00 AM,Tisdale Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Calico,78757,30.35022,-97.719712
125352,A833512,,2021-05-01 08:10:00,05/01/2021 08:10:00 AM,11511 Metric Boulevard in Austin (TX),Stray,Sick,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby/White,78758,30.394699000000003,-97.70620791854103
125353,A833263,*Big Mama,2021-04-27 10:36:00,04/27/2021 10:36:00 AM,I 35 And 183 in Austin (TX),Stray,Nursing,Dog,Intact Female,2 years,American Bulldog/American Staffordshire Terrier,White/Black,78722,30.288594,-97.723565
125354,A830115,*Bruce Wayne,2021-05-01 12:50:00,05/01/2021 12:50:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,None,,
125355,A833195,*Aurora,2021-04-26 11:12:00,04/26/2021 11:12:00 AM,45 Toll Road And South Highway 183 in Mustang Ridge (TX),Stray,Normal,Dog,Intact Female,5 months,Pit Bull Mix,White/Black,78647,30.0812059,-97.6947743
125356,A833518,,2021-05-01 12:19:00,05/01/2021 12:19:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,German Shepherd,Brown/Black,78702,30.2523206,-97.6904572
125357,A833523,,2021-05-01 13:15:00,05/01/2021 01:15:00 PM,Pearce Lane And Linden Road in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Red,None,,
125358,A833526,Ivy,2021-05-01 14:08:00,05/01/2021 02:08:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Pit Bull,Blue/White,None,,
125359,A833527,,2021-05-01 15:36:00,05/01/2021 03:36:00 PM,11929 Caithness Way in Travis (TX),Wildlife,Injured,Other,Intact Female,1 year,Turtle,Black/Green,None,,
125360,A833530,Stormy,2021-05-01 15:46:00,05/01/2021 03:46:00 PM,4708 Avenue H in Austin (TX),Public Assist,Normal,Other,Intact Female,1 year,Rabbit Sh,Black,78751,30.310946,-97.7234554609756
125361,A833187,*Marilyn,2021-04-26 10:30:00,04/26/2021 10:30:00 AM,124 West Anderson Lane in Austin (TX),Abandoned,Normal,Cat,Spayed Female,6 years,Domestic Shorthair,Black/White,78757,30.344704,-97.70524401046242
125362,A833447,*Fred,2021-04-29 17:56:00,04/29/2021 05:56:00 PM,10000 Old Lockhart Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby,None,,
125363,A833448,*Ethel,2021-04-29 17:56:00,04/29/2021 05:56:00 PM,10000 Old Lockhart Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,None,,
125364,A833445,*Lucy,2021-04-29 17:56:00,04/29/2021 05:56:00 PM,10000 Old Lockhart Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Black,None,,
125365,A833477,*Charlie,2021-04-30 12:46:00,04/30/2021 12:46:00 PM,1900 Albury Cove in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black/White,78758,30.399592,-97.70198095863503
125366,A833531,Teddy,2021-05-01 15:41:00,05/01/2021 03:41:00 PM,1101 Gatehouse Drive in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Shih Tzu,Brown/White,78753,30.385621,-97.66117356047396
125367,A831541,*Hodor,2021-03-29 11:38:00,03/29/2021 11:38:00 AM,2450 Ashdale in Austin (TX),Stray,Normal,Cat,Intact Male,4 years,Domestic Shorthair,Brown Tabby/White,None,,
125368,A833544,,2021-05-02 07:31:00,05/02/2021 07:31:00 AM,4434 Frontier Trail in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair,Blue Tabby,78745,30.231409499999998,-97.79576352760756
125369,A833542,,2021-05-02 07:31:00,05/02/2021 07:31:00 AM,4434 Frontier Trail in Austin (TX),Stray,Normal,Cat,Intact Female,1 weeks,Domestic Shorthair,Brown Tabby,78745,30.231409499999998,-97.79576352760756
